id,title,authors_year,venue,category,method,dataset,reported_metrics,url,notes
P01,An Enhanced YOLOv8 Model for Real-Time and Accurate Pothole Detection and Measurement,"Anonymous, 2025",arXiv:2505.04207,detection,"YOLOv8n-seg + Dynamic Snake Convolution + SimAM attention + GELU",PothRGBD (self-collected RGB-D),"mAP@0.5 93.8% (vs 91.9% base YOLOv8n-seg); precision 93.7%; recall 90.4%",https://arxiv.org/abs/2505.04207,"Directly relevant baseline for our YOLOv8-seg detector; shows attention modules give ~2pt mAP gain over vanilla YOLOv8n-seg — candidate ablation idea if time allows"
P02,POT-YOLO: Real-Time Road Potholes Detection Using Edge Segmentation-Based Yolo V8 Network,"Bhavana et al., 2024",ResearchGate / IEEE Sensors Alert,detection,YOLOv8 + edge segmentation branch for boundary refinement,not stated in abstract (road pothole imagery),"reports improved boundary IoU over base YOLOv8, exact numbers behind paywall",https://www.researchgate.net/publication/381034963_POT-YOLO_Real-Time_Road_Potholes_Detection_Using_Edge_Segmentation-Based_Yolo_V8_Network,"Edge-refinement idea is relevant to our irregularity/contour-roughness severity cue; need full text for numbers"
P03,YOLOv8 and point cloud fusion for enhanced road pothole detection and quantification,"Anonymous, 2025",Scientific Reports (Nature),detection + quantification,YOLOv8-seg fused with 3D point cloud for area/depth/perimeter,vehicle-mounted stereo/point-cloud captures,"reports pothole perimeter, area and depth directly from fused point cloud (exact mAP not in abstract)",https://www.nature.com/articles/s41598-025-94993-0,"Closest prior work to our severity module — but uses point-cloud hardware, whereas we use a monocular depth proxy (MiDaS) as a cheaper substitute; good limitations comparison for our Discussion"
P04,A Novel Deep Learning Approach for Enhanced Roadway Pothole Detection Using YOLOv8 Instance Segmentation Algorithms,"Anonymous, 2024",Int. J. Computational and Experimental Science and Engineering (IJCESEN),detection,YOLOv8 instance segmentation,not specified in abstract,mAP 99.2%,https://ijcesen.com/index.php/ijcesen/article/view/3285,"Very high reported mAP suggests a small/easy test set — flag as a paper to read closely for dataset size/leakage before citing metric"
P05,Improved YOLOv8 Method for Multi-scale Pothole Detection,"Chang, Chen & Xia, 2024",Springer (conference chapter),detection,YOLOv8 with multi-scale feature modification,custom pothole set,not extracted from abstract,https://link.springer.com/chapter/10.1007/978-981-97-5612-4_33,"Relevant to handling small/far vs large/near potholes in one frame — informs augmentation/anchor design"
P06,RDD2022: A multi-national image dataset for automatic Road Damage Detection,"Arya, Maeda, Ghosh et al., 2022",arXiv:2209.08538 / CRDDC'2022 (IEEE BigData Cup),dataset,detector-agnostic dataset release,"RDD2022: 47420 images, 6 countries (Japan, India, Czech Republic, Norway, USA, China), 55000+ damage instances","4 damage classes: longitudinal crack, transverse crack, alligator crack, pothole",https://arxiv.org/abs/2209.08538,"Primary multi-class, multi-country dataset for our merged pool and for the open-vocabulary stretch goal (non-pothole damage classes)"
P07,Comparison of CNN-Based Models for Pothole Detection in Real-World Adverse Conditions: Overview and Evaluation,"Anonymous, 2023",MDPI Applied Sciences 13(9):5810,detection,"benchmarks Mask R-CNN, YOLACT and others under adverse conditions",real-world adverse-condition pothole images,"Mask R-CNN 0.86 accuracy (slower); YOLACT 0.81 accuracy (near real-time)",https://www.mdpi.com/2076-3417/13/9/5810,"Directly supports our planned YOLOv8-seg vs Mask R-CNN accuracy/speed comparison table; adverse-condition framing motivates our rain/glare/blur augmentation ablation"
P08,Pothole Detection Using Deep Learning: A Real-Time and AI-on-the-Edge Perspective,"Asad et al., 2022",Advances in Civil Engineering (Wiley),detection,YOLOv4 and Tiny-YOLOv4 comparison for edge deployment,custom pothole imagery,"YOLOv4 best accuracy; Tiny-YOLOv4 90% detection accuracy at 31.76 FPS (real-time/edge)",https://onlinelibrary.wiley.com/doi/10.1155/2022/9221211,"Establishes the detection-only baseline framing we argue against in our research-gap statement — no severity or prioritization output"
P09,Automated Pavement Condition Index Assessment with Deep Learning and Image Analysis: An End-to-End Approach,"Anonymous, 2024",PMC11014408,PCI / severity,deep-learning crack detection + skeleton algorithm for width estimation feeding PCI calculation,pavement crack imagery,"95% crack detection accuracy; 90% crack-width estimation accuracy",https://pmc.ncbi.nlm.nih.gov/articles/PMC11014408/,"Grounds our severity-score formula in established civil-engineering PCI methodology — width/geometry-based severity proxy is analogous to our area/irregularity cues"
P10,Predicting pavement condition index based on the utilization of machine learning techniques: A case study,"Anonymous, 2023",ScienceDirect,PCI,"compares Linear Regression, Decision Tree, Random Forest, ANN, SVM for PCI prediction",agency pavement inspection records,not extracted from abstract,https://www.sciencedirect.com/science/article/pii/S2097049823000422,"Shows PCI prediction from tabular/inspection features is a separate, more mature line of work than image-based severity — useful contrast in Related Work"
