image,brightness,label_count,pred_count,count_diff,min_conf,mean_conf
kaggle_annotated_potholes_img-1.jpg,146.7,1,3,2,0.381,0.721
kaggle_annotated_potholes_img-108.jpg,155.1,5,5,0,0.255,0.666
kaggle_annotated_potholes_img-123.jpg,126.3,1,2,1,0.343,0.623
kaggle_annotated_potholes_img-136.jpg,145.3,1,3,2,0.487,0.7
kaggle_annotated_potholes_img-137.jpg,152.9,1,1,0,0.878,0.878
kaggle_annotated_potholes_img-143.jpg,148.4,1,1,0,0.869,0.869
kaggle_annotated_potholes_img-156.jpg,147.1,2,1,-1,0.792,0.792
kaggle_annotated_potholes_img-157.jpg,147.2,2,1,-1,0.88,0.88
kaggle_annotated_potholes_img-159.jpg,140.5,3,5,2,0.3,0.472
kaggle_annotated_potholes_img-16.jpg,152.7,1,1,0,0.948,0.948
kaggle_annotated_potholes_img-18.jpg,142.4,5,6,1,0.5,0.752
kaggle_annotated_potholes_img-184.jpg,147.8,11,1,-10,0.924,0.924
kaggle_annotated_potholes_img-217.jpg,141.8,2,5,3,0.26,0.322
kaggle_annotated_potholes_img-227.jpg,142.3,2,4,2,0.275,0.568
kaggle_annotated_potholes_img-241.jpg,154.4,7,7,0,0.312,0.56
kaggle_annotated_potholes_img-246.jpg,144.9,2,3,1,0.495,0.625
kaggle_annotated_potholes_img-252.jpg,129.5,3,3,0,0.255,0.502
kaggle_annotated_potholes_img-253.jpg,141.4,1,2,1,0.641,0.773
kaggle_annotated_potholes_img-268.jpg,154.4,1,2,1,0.586,0.758
kaggle_annotated_potholes_img-279.jpg,119.7,1,3,2,0.294,0.52
kaggle_annotated_potholes_img-281.jpg,113.0,1,3,2,0.37,0.53
kaggle_annotated_potholes_img-284.jpg,122.7,2,2,0,0.531,0.714
kaggle_annotated_potholes_img-290.jpg,101.5,1,1,0,0.892,0.892
kaggle_annotated_potholes_img-296.jpg,109.8,1,1,0,0.824,0.824
kaggle_annotated_potholes_img-297.jpg,142.8,5,5,0,0.523,0.708
