config,rank,pothole_id,priority_score,severity_category
default,1,pothole600_testing_0077,81.179,Medium
default,2,kaggle_indian_roads_PotHoles_plus_unpaved_36,80.787,Medium
default,3,pothole600_testing_0105,79.047,Medium
default,4,kaggle_potholes_yolov8_pothole_436,70.762,Low
default,5,pothole600_testing_0131,69.230,Low
default,6,kaggle_annotated_potholes_img-534,68.363,Low
default,7,pothole600_testing_0179,64.564,Low
default,8,kaggle_indian_roads_UngradedRoad_68,64.285,Very Low
default,9,kaggle_annotated_potholes_img-397,62.680,High
default,10,pothole600_testing_0132,58.363,Low
default,11,kaggle_potholes_yolov8_pothole_772,55.035,High
default,12,kaggle_annotated_potholes_img-281,53.189,Low
default,13,pothole600_testing_0063,53.153,Low
default,14,kaggle_indian_roads_AN_unpaved_167,53.152,Low
default,15,kaggle_potholes_yolov8_pothole_106,51.099,Low
default,16,pothole600_testing_0071,50.494,Very Low
default,17,kaggle_annotated_potholes_img-514,50.484,Very Low
default,18,kaggle_indian_roads_AN_unpaved_182,50.105,Low
default,19,pothole600_testing_0091,48.740,Very Low
default,20,kaggle_potholes_yolov8_pothole_522,48.451,High
default,21,pothole600_testing_0085,47.619,Very Low
default,22,kaggle_annotated_potholes_img-443,46.068,Very Low
default,23,kaggle_potholes_yolov8_pothole_761,45.592,Low
default,24,kaggle_indian_roads_PotHoles_460,45.237,Low
default,25,kaggle_potholes_yolov8_pothole_103,43.881,Very Low
default,26,pothole600_testing_0161,42.494,Low
default,27,pothole600_testing_0169,41.905,Low
default,28,pothole600_testing_0146,41.878,Very Low
default,29,pothole600_testing_0014,40.583,Very Low
default,30,kaggle_indian_roads_PotHoles_340,39.849,Low
default,31,kaggle_potholes_yolov8_pothole_711,39.560,Low
default,32,pothole600_testing_0054,38.936,Low
default,33,kaggle_potholes_yolov8_pothole_1746,38.877,Low
default,34,pothole600_testing_0080,38.536,Low
default,35,kaggle_potholes_yolov8_pothole_589,38.308,Low
default,36,kaggle_annotated_potholes_img-56,37.870,Very Low
default,37,kaggle_severity_levels_img-686,37.834,Very Low
default,38,kaggle_indian_roads_PotHoles_699,37.675,Low
default,39,pothole600_testing_0067,37.207,Low
default,40,kaggle_annotated_potholes_img-517,37.114,Low
default,41,pothole600_testing_0127,36.610,Very Low
default,42,kaggle_annotated_potholes_img-380,36.601,Low
default,43,kaggle_indian_roads_AN_unpaved_234,36.376,Low
default,44,pothole600_testing_0135,35.504,Very Low
default,45,kaggle_indian_roads_PotHoles_716,33.899,Very Low
default,46,kaggle_annotated_potholes_img-1,33.845,Very Low
default,47,kaggle_indian_roads_Speed_206,33.838,Very Low
default,48,pothole600_testing_0117,33.671,Low
default,49,pothole600_testing_0097,32.629,Very Low
default,50,pothole600_testing_0109,32.523,Very Low
default,51,pothole600_testing_0101,31.931,Very Low
default,52,pothole600_testing_0007,31.677,Very Low
default,53,pothole600_testing_0139,31.399,Very Low
default,54,kaggle_severity_levels_img-63,30.188,Very Low
default,55,pothole600_testing_0025,29.621,Very Low
default,56,pothole600_testing_0037,29.607,Very Low
default,57,pothole600_testing_0017,28.718,Very Low
default,58,pothole600_testing_0032,28.291,Very Low
default,59,kaggle_annotated_potholes_img-157,28.288,Very Low
default,60,pothole600_testing_0099,27.882,Very Low
severity_only,1,kaggle_annotated_potholes_img-397,65.200,High
severity_only,2,kaggle_potholes_yolov8_pothole_772,62.588,High
severity_only,3,kaggle_potholes_yolov8_pothole_522,62.127,High
severity_only,4,pothole600_testing_0077,52.948,Medium
severity_only,5,kaggle_indian_roads_PotHoles_plus_unpaved_36,51.968,Medium
severity_only,6,pothole600_testing_0105,47.618,Medium
severity_only,7,kaggle_potholes_yolov8_pothole_761,38.981,Low
severity_only,8,kaggle_indian_roads_PotHoles_460,38.092,Low
severity_only,9,kaggle_potholes_yolov8_pothole_589,36.770,Low
severity_only,10,kaggle_potholes_yolov8_pothole_106,36.247,Low
severity_only,11,pothole600_testing_0169,35.763,Low
severity_only,12,kaggle_indian_roads_PotHoles_699,35.188,Low
severity_only,13,kaggle_annotated_potholes_img-380,32.503,Low
severity_only,14,pothole600_testing_0179,31.409,Low
severity_only,15,pothole600_testing_0161,31.236,Low
severity_only,16,kaggle_indian_roads_AN_unpaved_167,30.881,Low
severity_only,17,kaggle_potholes_yolov8_pothole_436,26.905,Low
severity_only,18,pothole600_testing_0132,25.907,Low
severity_only,19,kaggle_annotated_potholes_img-517,25.785,Low
severity_only,20,kaggle_indian_roads_PotHoles_340,24.623,Low
severity_only,21,pothole600_testing_0080,24.341,Low
severity_only,22,pothole600_testing_0067,24.018,Low
severity_only,23,kaggle_potholes_yolov8_pothole_711,23.899,Low
severity_only,24,kaggle_indian_roads_AN_unpaved_182,23.262,Low
severity_only,25,pothole600_testing_0131,23.074,Low
severity_only,26,kaggle_annotated_potholes_img-281,22.972,Low
severity_only,27,pothole600_testing_0054,22.340,Low
severity_only,28,kaggle_potholes_yolov8_pothole_1746,22.194,Low
severity_only,29,kaggle_indian_roads_AN_unpaved_234,21.941,Low
severity_only,30,pothole600_testing_0117,21.178,Low
severity_only,31,kaggle_annotated_potholes_img-534,20.907,Low
severity_only,32,pothole600_testing_0063,20.382,Low
severity_only,33,kaggle_severity_levels_img-686,19.585,Very Low
severity_only,34,pothole600_testing_0071,18.986,Very Low
severity_only,35,pothole600_testing_0127,16.526,Very Low
severity_only,36,kaggle_annotated_potholes_img-514,16.211,Very Low
severity_only,37,kaggle_annotated_potholes_img-1,15.613,Very Low
severity_only,38,pothole600_testing_0139,15.498,Very Low
severity_only,39,pothole600_testing_0025,15.052,Very Low
severity_only,40,pothole600_testing_0037,15.019,Very Low
severity_only,41,pothole600_testing_0135,13.761,Very Low
severity_only,42,pothole600_testing_0146,13.195,Very Low
severity_only,43,kaggle_annotated_potholes_img-443,13.170,Very Low
severity_only,44,pothole600_testing_0017,12.796,Very Low
severity_only,45,kaggle_indian_roads_Speed_206,12.594,Very Low
severity_only,46,pothole600_testing_0097,12.572,Very Low
severity_only,47,pothole600_testing_0109,12.309,Very Low
severity_only,48,pothole600_testing_0032,11.729,Very Low
severity_only,49,kaggle_annotated_potholes_img-157,11.720,Very Low
