config,image_id,score,category
full (area+depth+irregularity),kaggle_indian_roads_UngradedRoad_239,24.298,Low
full (area+depth+irregularity),pothole600_testing_0115,22.716,Low
full (area+depth+irregularity),pothole600_testing_0094,29.880,Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_775,20.876,Low
full (area+depth+irregularity),kaggle_severity_levels_img-690,11.000,Very Low
full (area+depth+irregularity),pothole600_testing_0106,12.332,Very Low
full (area+depth+irregularity),pothole600_testing_0045,12.055,Very Low
full (area+depth+irregularity),pothole600_testing_0078,21.735,Low
full (area+depth+irregularity),pothole600_testing_0159,21.650,Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_599 - Copy,8.205,Very Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_47,24.872,Low
full (area+depth+irregularity),pothole600_testing_0154,18.506,Very Low
full (area+depth+irregularity),pothole600_testing_0141,14.223,Very Low
full (area+depth+irregularity),pothole600_testing_0122,19.714,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-314,13.126,Very Low
full (area+depth+irregularity),pothole600_testing_0065,44.295,Medium
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_135,21.112,Low
full (area+depth+irregularity),pothole600_testing_0165,24.160,Low
full (area+depth+irregularity),pothole600_testing_0088,10.328,Very Low
full (area+depth+irregularity),kaggle_indian_roads_frame+86,20.876,Low
full (area+depth+irregularity),pothole600_testing_0126,29.283,Low
full (area+depth+irregularity),pothole600_testing_0015,20.293,Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_205,51.520,Medium
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_219,17.306,Very Low
full (area+depth+irregularity),pothole600_testing_0160,31.413,Low
full (area+depth+irregularity),kaggle_severity_levels_img-717,6.060,Very Low
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_104,29.476,Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_14,47.491,Medium
full (area+depth+irregularity),pothole600_testing_0081,32.000,Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_539,42.236,Medium
full (area+depth+irregularity),pothole600_testing_0128,31.220,Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-433,17.041,Very Low
full (area+depth+irregularity),pothole600_testing_0089,31.816,Low
full (area+depth+irregularity),pothole600_testing_0020,13.229,Very Low
full (area+depth+irregularity),pothole600_testing_0153,13.841,Very Low
full (area+depth+irregularity),pothole600_testing_0012,10.428,Very Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_96,22.669,Low
full (area+depth+irregularity),kaggle_severity_levels_img-11,14.911,Very Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_1395,18.216,Very Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_113,9.546,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-227,32.292,Low
full (area+depth+irregularity),pothole600_testing_0167,25.311,Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-123,6.788,Very Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_301,41.659,Medium
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_415,21.124,Low
full (area+depth+irregularity),pothole600_testing_0040,15.498,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-59,19.408,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-290,33.177,Low
full (area+depth+irregularity),kaggle_indian_roads_UngradedRoad_77,35.461,Low
full (area+depth+irregularity),pothole600_testing_0000,10.490,Very Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_447,23.000,Low
full (area+depth+irregularity),pothole600_testing_0035,13.845,Very Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_451,37.387,Low
full (area+depth+irregularity),kaggle_indian_roads_frame+445,29.173,Low
full (area+depth+irregularity),pothole600_testing_0137,27.100,Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_200,8.816,Very Low
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_40,31.624,Low
full (area+depth+irregularity),kaggle_indian_roads_UngradedRoad_136,30.207,Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-623,53.037,Medium
full (area+depth+irregularity),pothole600_testing_0001,20.640,Low
full (area+depth+irregularity),pothole600_testing_0158,21.177,Low
full (area+depth+irregularity),pothole600_testing_0176,31.390,Low
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_264,17.948,Very Low
full (area+depth+irregularity),pothole600_testing_0156,28.437,Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-651,28.929,Low
full (area+depth+irregularity),pothole600_testing_0072,18.919,Very Low
full (area+depth+irregularity),pothole600_testing_0070,19.065,Very Low
full (area+depth+irregularity),pothole600_testing_0092,23.957,Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-447,20.117,Low
full (area+depth+irregularity),pothole600_testing_0043,22.087,Low
full (area+depth+irregularity),pothole600_testing_0162,29.787,Low
full (area+depth+irregularity),pothole600_testing_0150,13.611,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-217,18.047,Very Low
full (area+depth+irregularity),pothole600_testing_0051,14.226,Very Low
full (area+depth+irregularity),pothole600_testing_0055,9.224,Very Low
full (area+depth+irregularity),pothole600_testing_0005,10.112,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-341,19.476,Very Low
full (area+depth+irregularity),pothole600_testing_0021,10.563,Very Low
full (area+depth+irregularity),kaggle_indian_roads_UngradedRoad_40,34.647,Low
full (area+depth+irregularity),pothole600_testing_0076,24.351,Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_803,19.117,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-108,11.036,Very Low
full (area+depth+irregularity),pothole600_testing_0108,10.291,Very Low
full (area+depth+irregularity),pothole600_testing_0143,19.769,Very Low
full (area+depth+irregularity),pothole600_testing_0130,14.423,Very Low
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_15,13.206,Very Low
full (area+depth+irregularity),kaggle_annotated_potholes_img-297,16.452,Very Low
full (area+depth+irregularity),pothole600_testing_0083,10.108,Very Low
full (area+depth+irregularity),pothole600_testing_0031,12.794,Very Low
full (area+depth+irregularity),pothole600_testing_0075,18.840,Very Low
full (area+depth+irregularity),pothole600_testing_0073,16.248,Very Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_716,50.651,Medium
full (area+depth+irregularity),pothole600_testing_0111,39.704,Low
full (area+depth+irregularity),kaggle_indian_roads_PotHoles_876,30.512,Low
full (area+depth+irregularity),pothole600_testing_0050,18.062,Very Low
full (area+depth+irregularity),pothole600_testing_0066,19.034,Very Low
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_1694,13.668,Very Low
full (area+depth+irregularity),pothole600_testing_0074,52.456,Medium
full (area+depth+irregularity),kaggle_indian_roads_AN_unpaved_13,47.348,Medium
full (area+depth+irregularity),kaggle_potholes_yolov8_pothole_49,28.914,Low
area_only,kaggle_indian_roads_UngradedRoad_239,48.128,Medium
area_only,pothole600_testing_0115,7.427,Very Low
area_only,pothole600_testing_0094,16.872,Very Low
area_only,kaggle_potholes_yolov8_pothole_775,26.475,Low
area_only,kaggle_severity_levels_img-690,0.357,Very Low
area_only,pothole600_testing_0106,12.149,Very Low
area_only,pothole600_testing_0045,4.698,Very Low
area_only,pothole600_testing_0078,14.671,Very Low
area_only,pothole600_testing_0159,6.102,Very Low
area_only,kaggle_indian_roads_PotHoles_599 - Copy,7.524,Very Low
area_only,kaggle_indian_roads_PotHoles_47,63.557,High
area_only,pothole600_testing_0154,7.633,Very Low
area_only,pothole600_testing_0141,10.612,Very Low
area_only,pothole600_testing_0122,19.079,Very Low
area_only,kaggle_annotated_potholes_img-314,25.832,Low
area_only,pothole600_testing_0065,33.075,Low
area_only,kaggle_indian_roads_AN_unpaved_135,20.530,Low
area_only,pothole600_testing_0165,56.192,Medium
area_only,pothole600_testing_0088,10.328,Very Low
area_only,kaggle_indian_roads_frame+86,10.869,Very Low
area_only,pothole600_testing_0126,27.107,Low
area_only,pothole600_testing_0015,4.681,Very Low
area_only,kaggle_indian_roads_PotHoles_205,41.448,Medium
area_only,kaggle_indian_roads_AN_unpaved_219,16.342,Very Low
area_only,pothole600_testing_0160,10.635,Very Low
area_only,kaggle_severity_levels_img-717,0.095,Very Low
area_only,kaggle_indian_roads_AN_unpaved_104,28.949,Low
area_only,kaggle_indian_roads_PotHoles_14,16.521,Very Low
area_only,pothole600_testing_0081,14.646,Very Low
area_only,kaggle_potholes_yolov8_pothole_539,40.547,Medium
area_only,pothole600_testing_0128,27.181,Low
area_only,kaggle_annotated_potholes_img-433,20.240,Low
area_only,pothole600_testing_0089,18.167,Very Low
area_only,pothole600_testing_0020,4.957,Very Low
area_only,pothole600_testing_0153,28.273,Low
area_only,pothole600_testing_0012,4.808,Very Low
area_only,kaggle_potholes_yolov8_pothole_96,35.540,Low
area_only,kaggle_severity_levels_img-11,10.362,Very Low
area_only,kaggle_potholes_yolov8_pothole_1395,35.442,Low
area_only,kaggle_potholes_yolov8_pothole_113,5.533,Very Low
area_only,kaggle_annotated_potholes_img-227,34.427,Low
area_only,pothole600_testing_0167,53.847,Medium
area_only,kaggle_annotated_potholes_img-123,6.866,Very Low
area_only,kaggle_potholes_yolov8_pothole_301,24.976,Low
area_only,kaggle_indian_roads_PotHoles_415,44.850,Medium
area_only,pothole600_testing_0040,3.785,Very Low
area_only,kaggle_annotated_potholes_img-59,13.521,Very Low
area_only,kaggle_annotated_potholes_img-290,55.940,Medium
area_only,kaggle_indian_roads_UngradedRoad_77,12.560,Very Low
area_only,pothole600_testing_0000,4.980,Very Low
area_only,kaggle_indian_roads_PotHoles_447,57.314,Medium
area_only,pothole600_testing_0035,4.482,Very Low
area_only,kaggle_indian_roads_PotHoles_451,29.790,Low
area_only,kaggle_indian_roads_frame+445,76.345,High
area_only,pothole600_testing_0137,25.520,Low
area_only,kaggle_indian_roads_PotHoles_200,6.667,Very Low
area_only,kaggle_indian_roads_AN_unpaved_40,32.519,Low
area_only,kaggle_indian_roads_UngradedRoad_136,71.133,High
area_only,kaggle_annotated_potholes_img-623,34.146,Low
area_only,pothole600_testing_0001,4.802,Very Low
area_only,pothole600_testing_0158,10.635,Very Low
area_only,pothole600_testing_0176,29.565,Low
area_only,kaggle_indian_roads_AN_unpaved_264,18.669,Very Low
area_only,pothole600_testing_0156,5.996,Very Low
area_only,kaggle_annotated_potholes_img-651,14.508,Very Low
area_only,pothole600_testing_0072,18.786,Very Low
area_only,pothole600_testing_0070,30.222,Low
area_only,pothole600_testing_0092,16.825,Very Low
area_only,kaggle_annotated_potholes_img-447,30.382,Low
area_only,pothole600_testing_0043,4.706,Very Low
area_only,pothole600_testing_0162,6.068,Very Low
area_only,pothole600_testing_0150,28.208,Low
area_only,kaggle_annotated_potholes_img-217,2.889,Very Low
area_only,pothole600_testing_0051,3.736,Very Low
area_only,pothole600_testing_0055,3.606,Very Low
area_only,pothole600_testing_0005,4.021,Very Low
area_only,kaggle_annotated_potholes_img-341,22.091,Low
area_only,pothole600_testing_0021,4.246,Very Low
area_only,kaggle_indian_roads_UngradedRoad_40,3.942,Very Low
area_only,pothole600_testing_0076,24.354,Low
area_only,kaggle_indian_roads_PotHoles_803,7.060,Very Low
area_only,kaggle_annotated_potholes_img-108,6.990,Very Low
area_only,pothole600_testing_0108,7.856,Very Low
area_only,pothole600_testing_0143,16.528,Very Low
area_only,pothole600_testing_0130,9.942,Very Low
